date,value,indicator_name
1981-03-17,1498.5,Gold price INR
1981-03-18,1534.5,Gold price INR
1981-03-19,1494.0,Gold price INR
1981-03-20,1548.0,Gold price INR
1981-03-23,1611.0,Gold price INR
1981-03-24,1602.0,Gold price INR
1981-03-25,1615.5,Gold price INR
1981-03-26,1629.0,Gold price INR
1981-03-27,1674.0,Gold price INR
1981-03-30,1602.0,Gold price INR
1981-03-31,1561.5,Gold price INR
1981-04-01,1570.5,Gold price INR
1981-04-02,1579.5,Gold price INR
1981-04-03,1602.0,Gold price INR
1981-04-06,1633.5,Gold price INR
1981-04-07,1593.0,Gold price INR
1981-04-08,1534.5,Gold price INR
1981-04-09,1552.5,Gold price INR
1981-04-10,1494.0,Gold price INR
1981-04-13,1440.0,Gold price INR
1981-04-14,1471.5,Gold price INR
1981-04-15,1476.0,Gold price INR
1981-04-16,1458.0,Gold price INR
1981-04-17,1458.0,Gold price INR
1981-04-20,1458.0,Gold price INR
1981-04-21,1467.0,Gold price INR
1981-04-22,1494.0,Gold price INR
1981-04-23,1485.0,Gold price INR
1981-04-24,1494.0,Gold price INR
1981-04-27,1480.5,Gold price INR
1981-04-28,1480.5,Gold price INR
1981-04-29,1462.5,Gold price INR
1981-04-30,1471.5,Gold price INR
1981-05-01,1471.5,Gold price INR
1981-05-04,1471.5,Gold price INR
1981-05-05,1458.0,Gold price INR
1981-05-06,1476.0,Gold price INR
1981-05-07,1471.5,Gold price INR
1981-05-08,1471.5,Gold price INR
1981-05-11,1534.5,Gold price INR
1981-05-12,1498.5,Gold price INR
1981-05-13,1512.0,Gold price INR
1981-05-14,1494.0,Gold price INR
1981-05-15,1503.0,Gold price INR
1981-05-18,1480.5,Gold price INR
1981-05-19,1507.5,Gold price INR
1981-05-20,1485.0,Gold price INR
1981-05-21,1503.0,Gold price INR
1981-05-22,1458.0,Gold price INR
1981-05-25,1458.0,Gold price INR
1981-05-26,1462.5,Gold price INR
1981-05-27,1467.0,Gold price INR
1981-05-28,1467.0,Gold price INR
1981-05-29,1489.5,Gold price INR
1981-06-01,1503.0,Gold price INR
1981-06-02,1494.0,Gold price INR
1981-06-03,1512.0,Gold price INR
1981-06-04,1503.0,Gold price INR
1981-06-05,1480.5,Gold price INR
1981-06-08,1462.5,Gold price INR
1981-06-09,1485.0,Gold price INR
1981-06-10,1462.5,Gold price INR
1981-06-11,1476.0,Gold price INR
1981-06-12,1480.5,Gold price INR
1981-06-15,1467.0,Gold price INR
1981-06-16,1462.5,Gold price INR
1981-06-17,1444.5,Gold price INR
1981-06-18,1453.5,Gold price INR
1981-06-19,1444.5,Gold price INR
1981-06-22,1444.5,Gold price INR
1981-06-23,1458.0,Gold price INR
1981-06-24,1467.0,Gold price INR
1981-06-25,1458.0,Gold price INR
1981-06-26,1417.5,Gold price INR
1981-06-29,1390.5,Gold price INR
1981-06-30,1363.5,Gold price INR
1981-07-01,1368.0,Gold price INR
